(1,16128384)
(247,7594979)
(115,4358858)
(67,12563078)
(191,7495422)
(115,9196910)
(141,5403419)
(83,13960098)
(213,6732493)
(103,3347203)
(51,4139290)
(63,4931961)
(75,6641314)
(101,16711160)
(255,2466535)
(37,3069059)
(47,8608359)
(131,6188101)
(95,12920629)
(197,10827466)
(165,93840)
(1,8598446)
(131,13573403)
(207,12634448)
(193,14034673)
(215,7412363)
(113,16425003)
(251,12857743)
(197,13289266)
(203,10378739)
(159,11213192)
(171,5135031)
(79,11467897)
(175,9691537)
(147,2365474)
(37,16765162)
(255,15277016)
(233,12685827)
(193,16206907)
(247,2952287)
(45,1063773)
(17,9624314)
(147,3826462)
(59,4934403)
(75,9954202)
(151,254507)
(3,8095129)
(123,9559606)
(145,14662560)
(223,11076941)
(169,5069388)
(77,10806002)
(165,15052756)
(229,9154047)
(139,5384928)
(83,16369856)
(249,5691376)
(87,4549281)
(69,12200633)
(187,10800019)
(165,11513448)
(175,7367600)
(113,480435)
(7,4396223)
(67,12128119)
(185,10072532)
(153,15681453)
(239,1511520)
(23,6226786)
(95,12123835)
(185,9355927)
(143,1370113)
(21,13732311)
(209,7716646)
(117,5077589)
(77,13695229)
(209,14131631)
(215,16358408)
(249,12059772)
(185,6939008)
(105,10959633)
(167,12076808)
(185,12501583)
(191,15152313)
(231,4269361)
(65,6096096)
(93,15953784)
(243,14280133)
(217,13059876)
(199,5566269)
(85,1940250)
(29,5916581)
(91,5987308)
(91,9743717)
(149,7319328)
(111,11148369)
(171,13307149)
(203,16288650)
(249,14137433)
(215,12572357)
(191,325999)
(5,3165466)
(49,10325923)
(157,5555428)
(85,57388)
(1,13523364)
(207,16471319)
(251,1715936)
(27,2196540)
(33,10179000)
(155,6827023)
(105,13110689)
(201,12970160)
(197,13967396)
(213,8034536)
(123,1707918)
(27,6987071)
(107,824240)
(13,6501327)
(99,5199470)
(79,15474154)
(237,13441783)
(205,6559139)
(101,2828626)
(43,4675397)
(71,16043008)
(245,892648)
(13,12289002)
(187,11266503)
(171,182644)
(3,12981555)
(199,7163896)
(109,12646947)
(193,5501379)
(83,5697832)
(87,6918291)
(105,11188401)
(171,4150505)
(63,8510889)
(129,2530176)
(39,5512933)
(85,15988873)
(243,12975177)
(197,12628275)
(193,585778)
(9,7584382)
(115,12527210)
(191,13158590)
(201,1891130)
(29,16154693)
(247,4076849)
(63,14364058)
(219,11948817)
(183,565008)
(9,7707375)
(117,15078083)
(231,12674013)
(193,7498482)
(115,7479862)
(115,2068794)
(31,8894881)
(135,10837862)
(165,11783621)
(179,6344682)
(97,7485717)
(115,15165734)
(231,3092949)
(47,8925490)
(137,13264887)
(203,5956722)
(91,14492376)
(221,10327054)
(157,12097074)
(185,3391236)
(51,6674873)
(101,16264728)
(249,3448366)
(53,6006868)
(91,11185602)
(171,4839545)
(73,13430507)
(205,787187)
(13,5198527)
(79,1427785)
(21,470216)
(7,15252134)
(233,16267956)
(249,4915566)
(75,3092689)
(47,10272045)
(157,15184864)
(231,2625437)
(41,12687862)
(193,8159763)
(125,8422767)
(129,13353242)
(203,1680853)
(25,5459412)
(83,4707367)
(71,14438043)
(221,9800723)
(149,574129)
(9,821869)
(13,8745365)
(133,11027620)
(169,1893896)
(29,4953602)
(75,14406522)
(219,2919591)
(45,7311157)
(111,1038336)
(15,4618610)
(71,8381225)
(127,13008768)
(199,5551497)
(85,10380756)
(159,13926723)
(213,15355662)
(235,13519087)
(207,1028895)
(15,10797762)
(165,16517412)
(253,3838721)
(59,4118604)
(63,15214118)
(233,11042368)
(169,2585478)
(39,11590639)
(177,16455888)
(251,2408646)
(37,14598014)
(223,6540587)
(99,2348172)
(35,10684494)
(163,13907528)
(213,12177530)
(185,8541254)
(131,11400508)
(173,8473573)
(129,1618290)
(25,9583207)
(147,7220181)
(111,12090268)
(185,7253983)
(111,4881982)
(75,12531094)
(191,4640729)
(71,357044)
(5,9846762)
(151,2555287)
(39,7664940)
(117,16463693)
(251,13653684)
(209,12784882)
(195,3254656)
(49,3035953)
(47,1796248)
(27,11807438)
(181,316896)
(5,16067513)
(245,12001418)
(183,4994928)
(77,13336403)
(203,8257694)
(127,7653220)
(117,3861559)
(59,6177823)
(95,4982267)
(77,4102210)
(63,11984040)
(183,8390918)
(129,2888051)
(45,11108214)
(169,389057)
(5,5162102)
(79,14953472)
(229,16503960)
(251,11964026)
(183,13606334)
(207,14315177)
(219,14150887)
(215,5413475)
(83,1795369)
(27,1088166)
(17,2011468)
(31,14651031)
(223,8702941)
(133,16199942)
(247,6497709)
(99,14282058)
(217,3244299)
(49,3486810)
(53,12609022)
(193,12769047)
(195,9650538)
(147,6607837)
(101,9902446)
(151,12312045)
(187,11236298)
(171,8396071)
(129,11316890)
(173,6385936)
(97,16620153)
(253,3229017)
(49,1028680)
(15,9701716)
(149,12275481)
(187,13859952)
(211,9107762)
(139,9341781)
(143,7046364)
(107,15691398)
(239,4319722)
